checkmk,timestamp,cpu_usage(in %),memory_usage,disk_usage(in KB)
monitoring,2025-05-09T16:17:25,768.29%,2077.7,2322856
monitoring,2025-05-09T16:17:42,64.53%,1079.3,2322856
monitoring,2025-05-09T16:17:58,0.45%,1078.27,2322856
monitoring,2025-05-09T16:18:15,12.00%,1079.3,2322856
monitoring,2025-05-09T16:18:32,333.88%,1106.94,2322856
monitoring,2025-05-09T16:18:48,2.86%,1079.3,2322856
monitoring,2025-05-09T16:19:05,795.36%,2929.66,2322856
monitoring,2025-05-09T16:19:21,0.49%,1079.3,2322856
monitoring,2025-05-09T16:19:38,120.98%,1129.47,2322856
monitoring,2025-05-09T16:19:54,2.61%,1079.3,2322856
monitoring,2025-05-09T16:20:11,260.92%,1212.42,2322856
monitoring,2025-05-09T16:20:27,711.31%,2766.85,2322856
monitoring,2025-05-09T16:20:44,2.14%,1079.3,2322856
monitoring,2025-05-09T16:21:01,102.51%,1079.3,2322856
monitoring,2025-05-09T16:21:17,2.81%,1079.3,2322856
monitoring,2025-05-09T16:21:34,314.98%,1112.06,2322856
monitoring,2025-05-09T16:21:50,0.52%,1079.3,2322856
monitoring,2025-05-09T16:22:07,594.99%,3145.73,2322856
monitoring,2025-05-09T16:22:23,61.56%,1079.3,2322856
monitoring,2025-05-09T16:22:40,337.72%,1176.58,2322856
monitoring,2025-05-09T16:22:56,1.89%,1079.3,2322856
monitoring,2025-05-09T16:23:13,0.47%,1079.3,2322856
monitoring,2025-05-09T16:23:30,715.47%,1525.76,2322856
monitoring,2025-05-09T16:23:46,2.45%,1079.3,2322856
monitoring,2025-05-09T16:24:03,798.59%,2386.94,2322856
monitoring,2025-05-09T16:24:19,117.10%,1079.3,2322856
monitoring,2025-05-09T16:24:36,7.10%,1079.3,2322856
monitoring,2025-05-09T16:24:52,0.40%,1079.3,2322856
monitoring,2025-05-09T16:25:09,476.41%,1262.59,2322856
monitoring,2025-05-09T16:25:25,778.51%,2134.02,2322856
monitoring,2025-05-09T16:25:42,37.59%,1079.3,2322856
monitoring,2025-05-09T16:25:59,2.80%,1079.3,2322856
monitoring,2025-05-09T16:26:15,0.42%,1079.3,2322856
monitoring,2025-05-09T16:26:32,310.94%,1104.9,2322856
monitoring,2025-05-09T16:26:48,2.26%,1079.3,2322856
monitoring,2025-05-09T16:27:05,775.20%,2985.98,2322856
monitoring,2025-05-09T16:27:21,0.49%,1079.3,2322856
monitoring,2025-05-09T16:27:38,129.96%,1167.36,2322856
monitoring,2025-05-09T16:27:54,2.03%,1079.3,2322856
monitoring,2025-05-09T16:28:11,249.39%,1212.42,2322856
