prometheus,timestamp,cpu_usage(in %),memory_usage,disk_usage(in KB)
prometheus,2025-05-08T09:03:01,0.66%,182.6,79820
prometheus,2025-05-08T09:03:18,0.67%,182.5,80004
prometheus,2025-05-08T09:03:34,1.21%,182.6,80192
prometheus,2025-05-08T09:03:51,1.02%,182.6,80348
prometheus,2025-05-08T09:04:07,0.87%,182.9,80500
prometheus,2025-05-08T09:04:24,1.39%,182.6,80696
prometheus,2025-05-08T09:04:40,0.21%,182.6,80896
prometheus,2025-05-08T09:04:57,0.45%,182.6,81008
prometheus,2025-05-08T09:05:13,0.73%,182.9,81208
prometheus,2025-05-08T09:05:30,0.72%,182.7,81372
prometheus,2025-05-08T09:05:47,0.00%,182.7,81556
prometheus,2025-05-08T09:06:03,0.12%,182.7,81696
prometheus,2025-05-08T09:06:20,0.51%,182.7,81888
prometheus,2025-05-08T09:06:36,0.73%,182.7,82076
prometheus,2025-05-08T09:06:53,0.34%,182.7,82224
prometheus,2025-05-08T09:07:09,1.25%,182.7,82384
prometheus,2025-05-08T09:07:26,0.82%,182.9,82580
prometheus,2025-05-08T09:07:42,0.23%,182.9,82768
prometheus,2025-05-08T09:07:59,0.88%,182.9,82892
prometheus,2025-05-08T09:08:15,0.20%,182.9,83096
prometheus,2025-05-08T09:08:32,1.09%,183,83252
prometheus,2025-05-08T09:08:48,0.35%,183,83424
prometheus,2025-05-08T09:09:05,1.29%,183.4,83568
prometheus,2025-05-08T09:09:21,0.78%,184.2,83768
prometheus,2025-05-08T09:09:38,0.67%,184.4,83968
prometheus,2025-05-08T09:09:55,0.28%,184.4,84088
prometheus,2025-05-08T09:10:11,0.81%,184.4,84284
prometheus,2025-05-08T09:10:28,0.20%,184.7,84460
prometheus,2025-05-08T09:10:44,0.68%,184.6,84640
prometheus,2025-05-08T09:11:01,0.44%,184.8,84768
prometheus,2025-05-08T09:11:17,0.39%,185.1,84964
prometheus,2025-05-08T09:11:34,0.42%,185.4,85148
prometheus,2025-05-08T09:11:50,1.23%,185.5,85292
prometheus,2025-05-08T09:12:07,0.21%,185.6,85460
prometheus,2025-05-08T09:12:23,0.97%,185.9,85644
prometheus,2025-05-08T09:12:40,0.06%,185.7,85852
prometheus,2025-05-08T09:12:56,0.41%,185.7,85960
prometheus,2025-05-08T09:13:13,0.81%,185.7,86160
prometheus,2025-05-08T09:13:29,0.29%,185.8,86328
prometheus,2025-05-08T09:13:46,0.00%,185.8,86512
prometheus,2025-05-08T09:14:03,0.19%,185.8,86652
prometheus,2025-05-08T09:14:19,0.68%,186,86844
prometheus,2025-05-08T09:14:36,0.19%,185.8,87032
prometheus,2025-05-08T09:14:52,0.20%,185.8,87184
prometheus,2025-05-08T09:15:09,1.30%,185.8,87336
prometheus,2025-05-08T09:15:25,0.23%,185.8,87536
prometheus,2025-05-08T09:15:42,0.58%,185.8,87716
prometheus,2025-05-08T09:15:58,1.10%,185.9,87836
prometheus,2025-05-08T09:16:15,0.66%,185.8,88048
prometheus,2025-05-08T09:16:31,1.01%,185.9,88204
prometheus,2025-05-08T09:16:48,0.62%,185.9,88372
prometheus,2025-05-08T09:17:04,0.99%,185.9,88520
prometheus,2025-05-08T09:17:21,0.78%,185.9,88720
prometheus,2025-05-08T09:17:37,0.31%,185.9,88928
prometheus,2025-05-08T09:17:54,0.06%,185.9,89048
